Indicator Name,Indicator Value,Governorates,District,Topic,x,y,Year,Name,GOVERNORATE_ID
accidents outside cities,31,Addammam,Eastern Region Municipality,Livability,52.83786863,21.99674552,2019,الدمام,00500
accidents within cities,69,Addammam,Eastern Region Municipality,Livability,52.83786863,21.99674552,2019,الدمام,00500
Average number of death resulting from traffic accidents (age: 1-15 years),1.57,Addammam,Eastern Region Municipality,Livability,52.83786863,21.99674552,2019,الدمام,00500
Average number of injuries resulting from traffic accidents (age more than 36 years),41.89,Addammam,Eastern Region Municipality,Livability,52.83786863,21.99674552,2019,الدمام,00500
Average number of injuries resulting from traffic accidents (age: 1-15 years),21.95,Addammam,Eastern Region Municipality,Livability,52.83786863,21.99674552,2019,الدمام,00500
Average number of injuries resulting from traffic accidents (age: 16-35 years),72.73,Addammam,Eastern Region Municipality,Livability,52.83786863,21.99674552,2019,الدمام,00500
death rate,14,Addammam,Eastern Region Municipality,Livability,52.83786863,21.99674552,2019,الدمام,00500
injury rate,86,Addammam,Eastern Region Municipality,Livability,52.83786863,21.99674552,2019,الدمام,00500
Per capita green space - square meters per person,3.61,Addammam,Eastern Region Municipality,Livability,52.83786863,21.99674552,2019,الدمام,00500
Per capita share of squares and public places,11.95,Addammam,Eastern Region Municipality,Livability,52.83786863,21.99674552,2019,الدمام,00500
Percentage of accidents incurred by non-Saudi,26.8,Addammam,Eastern Region Municipality,Livability,52.83786863,21.99674552,2019,الدمام,00500
Percentage of road accidents for Saudi,73,Addammam,Eastern Region Municipality,Livability,52.83786863,21.99674552,2019,الدمام,00500
Percentage of serious accidents outside cities,31,Addammam,Eastern Region Municipality,Livability,52.83786863,21.99674552,2019,الدمام,00500
Percentage of serious accidents within cities,69,Addammam,Eastern Region Municipality,Livability,52.83786863,21.99674552,2019,الدمام,00500
suicide mortality rate,1.62,Addammam,Eastern Region Municipality,Livability,52.83786863,21.99674552,2019,الدمام,00500
"The homicide rate per 100,000 population",0.32,Addammam,Eastern Region Municipality,Livability,52.83786863,21.99674552,2019,الدمام,00500
"The number of traffic accident injuries per 100,000 people",56.86,Addammam,Eastern Region Municipality,Livability,52.83786863,21.99674552,2019,الدمام,00500
